address,name,symbol,onchain_mcap
0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,Green Metaverse Token,GMT,0
0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO,0
0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,Binance-Peg Compound Coin,COMP,0
0x9996D0276612d23b35f90C51EE935520B3d7355B,Curve DAO Token,CRV,0
0x6985884c4392d348587b19cb9eaaf157f13271cd,LayerZero,ZRO,0
0x4b0f1812e5df2a09796481ff14017e6005508003,Trust Wallet,TWT,0
0x111111111117dc0aa78b770fa6a738034120c302,1INCH Token,1INCH,0
0x9678e42cebeb63f23197d726b29b1cb20d0064e5,Binance-Peg IoTeX Network,IOTX,0
0xc748673057861a797275CD8A068AbB95A902e8de,Baby Doge Coin,BabyDoge,0
0x0000028a2eb8346cd5c0267856ab7594b7a55308,Zeta,ZETA,0
0xb86abcb37c3a4b64f74f59301aff131a1becc787,Zilliqa,ZIL,0
0x302cd8973be5ca2334b4ff7e7b01ba41455559b3,Ethereum PoW,ETHW,0
0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,Venus BTC,vBTC,0
0x3cd55356433c89e50dc51ab07ee0fa0a95623d53,Staked Frax Ether,sfrxETH,0
0xea998d307aca04d4f0a3b3036aba84ae2e409c0a,JUST,JST,0
0x2aa69e8d25c045b659787bc1f03ce47a388db6e8,Kusama,KSM,0
0xf307910a4c7bbc79691fd374889b36d8531b08e3,Ankr,ANKR,0
0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,SafePal Token,SFP,0
0x101d82428437127bf1608f699cd651e6abf9766e,Binance-Peg Basic Attention Token,BAT,0
0x250632378e573c6be1ac2f97fcdf00515d0aa91b,Binance Beacon ETH,BETH,0
0x4d5ac5cc4f8abdf2ec2cb986c00c382369f787d4,Illuvium,ILV,0
0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9,Binance-Peg ELF Token,ELF,0
0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,AltLayer Token,ALT,0
0x47bead2563dcbf3bf2c9407fea4dc236faba485a,Swipe,SXP,0
0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,Binance-Peg yearn.finance,YFI,0
0x66e4d38b20173f509a1ff5d82866949e4fe898da,Loopring,LRC,0
0x13ab6739368a4e4abf24695bf52959224367391f,Yield Guild Games Token,YGG,0
0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,Binance-Peg Ontology Token,ONT,0
0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,Binance-Peg Band Protocol Token,BAND,0
0xf508fcd89b8bd15579dc79a6827cb4686a3592c8,Venus ETH,vETH,0
0x2dfF88A56767223A5529eA5960Da7A3F5f766406,SPACE ID,ID,0
0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee,Frax Share,FXS,0
0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb,Binance-Peg COTI Token,COTI,0
0x03fF0ff224f904be3118461335064bB48Df47938,Harmony ONE,ONE,0
0x7788A3538C5fc7F9c7C8A74EAC4c898fC8d87d92,Staked USDX,sUSDX,0
0xf3527ef8dE265eAa3716FB312c12847bFBA66Cef,USDX,USDX,0
0x76f3ce6af26de7a9854dbd153acd8f46a2cf5133,Moonbeam,GLMR,0
0xf9cec8d50f6c8ad3fb6dccec577e05aa32b224fe,Chroma,CHR,0
0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,GoMining Token,GMT,0
0xaf3287cae99c982586c07401c0d911bf7de6cd82,H2O DAO,H2O,0
0xdce07662ca8ebc241316a15b611c89711414dd1a,Ocean Protocol,OCEAN,0
0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,JoeToken,JOE,0
0xd4ed60d8368a92b5f1ca33af61ef2a94714b2d46,Balancer,BAL,0
0x23396cf899ca06c4472205fc903bdb4de249d6fc,Wrapped USTC Token,USTC,0
0xc2c28b58db223DA89b567A0A98197Fc17C115148,Sologenic,SOLO,0
0xdb021b1b247fe2f1fa57e0a87c748cc1e321f07f,AMPL secured by Meter Passport,AMPL,0
0xeca88125a5adbe82614ffc12d0db554e2e2867c8,Venus USDC,vUSDC,0
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,Venus,XVS,0
0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,Coin98,C98,0
0xebd49b26169e1b52c04cfd19fcf289405df55f80,Orbs,ORBS,0
0x8da443f84fea710266c8eb6bc34b71702d033ef2,Binance-Peg Cartesi Token,CTSI,0
0x5f588efaf8eb57e3837486e834fc5a4e07768d98,Binance Wrapped MVL,bMVL,0
0x7bd6fabd64813c48545c9c0e312a0099d9be2540,Dogelon Mars,ELON,0
0xac51066d7bec65dc4589368da368b212745d63e8,ALICE,ALICE,0
0xBc7d6B50616989655AfD682fb42743507003056D,Alchemy,ACH,0
0xa4080f1778e69467e905b8d6f72f6e441f9e9484,Synapse,SYN,0
0x09e889bb4d5b474f561db0491c38702f367a4e4d,Clover,CLV,0
0xb3c11196a4f3b1da7c23d9fb0a3dde9c6340934f,Binance-Peg Pax Dollar Token,USDP,0
0xfdc66a08b0d0dc44c17bbd471b88f49f50cdd20f,SmarDex Token,SDEX,0
0xb6c53431608e626ac81a9776ac3e999c5556717c,pTokens TLOS,TLOS,0
0x193f4A4a6ea24102F49b931DEeeb931f6E32405d,TLOS,TLOS,0
0x9840652DC04fb9db2C43853633f0F62BE6f00f98,ChainGPT,CGPT,0
0xa1428370f540b4c4e319224165ecae513a391f77,Marlin POND,POND,0
0x12bb890508c125661e03b09ec06e404bc9289040,Radio Caca V2,RACA,0
0xc27A719105A987b4c34116223CAE8bd8F4B5def4,ACEToken,ACE,0
0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2,DODO bird,DODO,0
0x2c21b6d44e4f01807e2f9577ddd89f89d72c292c,BUBCAT,BUB,0
0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b,Binance-Peg Kyber Network Crystal Token,KNC,0
0x477bc8d23c634c154061869478bce96be6045d12,SeedifyFund,SFUND,0
0x99956d38059cf7beda96ec91aa7bb2477e0901dd,DIAToken,DIA,0
0x0112e557d400474717056c4e6d40edd846f38351,Binance-Peg Phala Network Token,PHA,0
0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,Prometeus,PROM,0
0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0,Hook Token,HOOK,0
0x1f9f6a696c6fd109cd3956f45dc709d2b3902163,Binance-Peg Celer Token,CELR,0
0x4d2d32d8652058bf98c772953e1df5c5c85d9f45,DAO Maker,DAO,0
0x812764fa37a4fd731a5d39f0e519b6b8d61e82a0,DAO Maker,DAO,0
0xd691d9a68c887bdf34da8c36f63487333acfd103,Maverick Token,MAV,0
0x9b17baadf0f21f03e35249e0e59723f34994f806,inSure,SURE,0
0xa069008a669e2af00a86673d9d584cfb524a42cc,Binance-Peg Bancor Network Token,BNT,0
0xe6df05ce8c8301223373cf5b969afcb1498c5528,BNB48 Club Token,KOGE,0
0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,Mobox,MBOX,0
0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,BakeryToken,BAKE,0
0x9f3bcbe48e8b754f331dfc694a894e8e686ac31d,Acet Token,ACT,0
0xa1faa113cbe53436df28ff0aee54275c13b40975,AlphaToken,ALPHA,0
0x9c1962e0ac2a370ab4c4f4eecba6483d8764c4b2,Origin,OGN,0
0xf7DE7E8A6bd59ED41a4b5fe50278b3B7f31384dF,Radiant,RDNT,0
0xe9e7cea3dedca5984780bafc599bd69add087d56,Binance-Peg BUSD Token,BUSD,0
0xB0D502E938ed5f4df2E681fE6E419ff29631d62b,StargateToken,STG,0
0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7,Secret,SCRT,0
0xe2fb3F127f5450DeE44afe054385d74C392BdeF4,Curve.fi USD Stablecoin,crvUSD,0
0x9ec02756a559700d8d9e79ece56809f7bcc5dc27,why,WHY,0
